time,C_20191017_001_p1a,C_20191017_001_p1b,C_20191017_002_p1a,C_20191017_002_p1b,C_20191017_004_p1a,C_20191017_004_p1b,C_20191017_004_p2a,C_20191017_004_p2b,C_20191017_004_p3a,C_20191017_004_p3b,C_20191017_004_p4a,C_20191017_004_p4b,C_20191017_005_p1a,C_20191017_005_p1b,C_20191017_005_p2a,C_20191017_005_p2b,C_20191017_005_p3a,C_20191017_005_p3b,C_20191017_005_p4a,C_20191017_005_p4b,C_20191017_005_p5a,C_20191017_005_p5b,C_20191018_002_p1a,C_20191018_002_p1b,C_20191018_002_p2a,C_20191018_002_p2b,C_20191018_003_p1a,C_20191018_003_p1b,C_20191018_003_p2a,C_20191018_003_p2b,C_20191018_006_p1a,C_20191018_006_p1b,C_20191018_009_p1a,C_20191018_009_p1b,C_20191018_009_p2a,C_20191018_009_p2b,C_20191018_011_p1a,C_20191018_011_p1b,C_20191018_013_p1a,C_20191018_013_p1b,C_20191018_015_p1a,C_20191018_015_p1b,C_20191031_004_p1a,C_20191031_004_p1b,C_20191031_004_p2a,C_20191031_004_p2b,C_20191031_008_p1a,C_20191031_008_p1b,C_20191031_009_p1a,C_20191031_009_p1b,C_20191031_011_p1a,C_20191031_011_p1b,C_20191031_012_p1a,C_20191031_012_p1b,C_20191031_012_p2a,C_20191031_012_p2b,C_20191031_013_p1a,C_20191031_013_p1b,C_20191031_013_p2a,C_20191031_013_p2b,C_20191031_013_p3a,C_20191031_013_p3b,C_20191031_017_p1a,C_20191031_017_p1b,C_20191031_017_p2a,C_20191031_017_p2b,C_20191031_017_p3a,C_20191031_017_p3b,S_20191010_002_P1a,S_20191010_002_P1b,S_20191010_002_P3a,S_20191010_002_P3b,S_20191010_005_p2a,S_20191010_005_p2b,S_20191010_005_p3a,S_20191010_005_p3b,S_20191010_005_p4a,S_20191010_005_p4b,S_20191010_006_p1a,S_20191010_006_p1b,S_20191010_006_p2a,S_20191010_006_p2b,S_20191010_006_p3a,S_20191010_006_p3b,S_20191010_009_p1a,S_20191010_009_p1b,S_20191010_009_p2a,S_20191010_009_p2b,S_20191010_012_p1a,S_20191010_012_p1b,S_20191010_012_p2a,S_20191010_012_p2b,S_20191010_013_p1a,S_20191010_013_p1b,S_20191010_013_p2a,S_20191010_013_p2b,S_20191010_013_p3a,S_20191010_013_p3b,S_20191010_013_p4a,S_20191010_013_p4b,S_20191010_013_p6a,S_20191010_013_p6b,S_20191011_003_p2a,S_20191011_003_p2b,S_20191011_004_p1a,S_20191011_004_p1b,S_20191011_004_p2a,S_20191011_004_p2b,S_20191011_004_p3a,S_20191011_004_p3b,S_20191011_004_p5a,S_20191011_004_p5b,S_20191011_004_p6a,S_20191011_004_p6b,S_20191011_006_p1a,S_20191011_006_p1b,S_20191011_006_p2a,S_20191011_006_p2b,S_20191011_006_p3a,S_20191011_006_p3b,S_20191011_006_p4a,S_20191011_006_p4b,S_20191011_006_p5a,S_20191011_006_p5b,S_20191107_002_p1a,S_20191107_002_p1b,S_20191107_002_p2a,S_20191107_002_p2b,S_20191107_002_p3a,S_20191107_002_p3b,S_20191107_003_p1a,S_20191107_003_p1b,S_20191107_003_p2a,S_20191107_003_p2b,S_20191107_003_p3a,S_20191107_003_p3b,S_20191107_003_p4a,S_20191107_003_p4b,S_20191107_005_p1a,S_20191107_005_p1b,S_20191107_005_p2a,S_20191107_005_p2b,S_20191107_007_p1a,S_20191107_007_p1b,S_20191107_007_p2a,S_20191107_007_p2b,S_20191107_007_p3a,S_20191107_007_p3b,S_20191107_008_p1a,S_20191107_008_p1b,S_20191107_009_p1a,S_20191107_009_p1b,S_20191107_009_p2a,S_20191107_009_p2b,S_20191107_009_p3a,S_20191107_009_p3b,S_20191107_009_p4a,S_20191107_009_p4b,S_20191107_010_p1a,S_20191107_010_p1b,S_20191107_010_p2a,S_20191107_010_p2b,S_20191107_010_p3a,S_20191107_010_p3b,S_20191107_011_p1a,S_20191107_011_p1b,S_20191107_011_p2a,S_20191107_011_p2b,S_20191107_012_p1a,S_20191107_012_p1b,S_20191107_012_p2a,S_20191107_012_p2b,S_20191107_012_p3a,S_20191107_012_p3b,S_20191107_014_p1a,S_20191107_014_p1b,S_20191107_014_p2a,S_20191107_014_p2b,S_20191107_015_p1a,S_20191107_015_p1b,S_20191107_015_p2a,S_20191107_015_p2b
60,9.221799445,8.471195488,8.179578045,7.207766436,8.668491276,9.295358089,8.592268269,9.360909838,5.618043076,6.591658744,8.161037495,8.763539239,5.01611204,6.017850862,7.106671936,6.361258995,6.577283634,7.378497679,5.702349165,6.440116924,4.786462264,5.72742429,10.29815712,11.17093058,7.278541956,8.418991151,4.547748894,5.503830757,4.649579013,5.835668685,7.912554392,7.078740707,7.519572129,8.604019758,4.962240724,6.048826663,,,10.18983268,9.089438707,5.886098283,4.759983403,6.255327409,5.616801314,7.682716772,6.629810631,7.682668612,6.703412937,7.167056997,6.442896942,7.619968832,6.950328697,6.417341895,5.448818312,8.642417775,7.628288471,6.871702118,5.716901433,9.963879766,9.029614222,8.608537913,7.63251361,5.559502226,3.793468334,7.599113435,6.28332595,7.437636789,6.368723027,7.441403429,8.317174761,7.271442292,8.071778614,8.133039838,7.053739788,9.485318339,8.702712738,7.94176114,6.862531676,6.875557068,8.567227148,6.07895139,7.350198977,7.352526165,8.928072188,6.275515676,7.416890049,5.287284464,6.811398168,7.054067266,6.004055713,8.259225448,6.967353084,6.737266063,7.701653848,5.531715918,6.510600971,5.364322231,6.554580231,6.818144322,7.654723836,5.958492846,7.524031167,7.752198656,8.952336734,5.636077093,6.631655148,3.036467685,4.101396104,7.155247096,6.351833279,5.363283323,6.521521065,7.031474668,5.976243804,7.440315181,8.565552055,,,6.267068294,7.550514221,5.376192147,6.942702932,6.2019792,7.443932093,4.652273853,5.830646276,5.965568288,7.083852412,6.603117824,7.650086013,5.149283154,6.238314276,6.082602239,7.931639742,6.37232281,5.112176053,5.393746842,6.666619083,7.578090327,6.709306149,7.077096721,7.964649019,7.966467724,9.099829943,8.128691162,6.664569078,7.697182082,9.172682977,9.362692455,7.376308359,8.091903732,9.489540874,8.595864878,7.446466612,7.205314844,5.94188699,9.330674199,7.206484025,5.116839356,6.388901705,6.004663271,7.564126519,6.544843237,8.087749563,7.370693658,8.590607254,6.914914678,8.524941583,6.181544872,7.243746613,5.105379516,6.59093089,8.50496943,7.610724341,4.428547956,5.665708782,6.501157205,7.69516556,8.97388617,7.492404487,7.86166172,6.038606627
63,9.23326432,8.459613525,8.179017667,7.251128533,8.826582804,9.53910609,8.450764758,9.342965803,5.508718998,6.493831227,7.972358748,8.614827973,4.930887648,5.927757502,7.046281856,6.34284731,6.624131188,7.330174964,5.614251954,6.385174234,4.691890877,5.641450168,10.23641915,11.06765784,7.294324712,8.353606407,4.410687588,5.402850822,4.542652089,5.744984334,8.067051816,7.15525604,7.480053543,8.563476222,5.044833496,6.287000318,,,10.11373052,9.086254454,5.925490697,4.902754328,6.342968548,5.704445722,7.755891954,6.669812966,7.6407906,6.659597961,7.146904925,6.202746488,7.602604291,6.961416307,6.48261745,5.525956388,8.690890173,7.640069764,6.880979073,5.707506023,9.905166581,8.985777484,8.565809069,7.61265742,5.46945628,3.892176897,7.857670138,6.411310318,7.508621778,6.494192021,7.371571406,8.318061553,7.310361003,8.206655896,8.05758084,6.994871335,9.537880372,8.726322307,7.954858264,6.834029704,6.763639922,8.472432295,6.213971999,7.395389713,7.269980468,8.788946296,6.383295857,7.480476054,5.4593158,6.840392167,7.110666495,6.052036434,8.358365869,7.044339926,6.640929829,7.613325489,5.45645755,6.461882234,5.334623886,6.528672223,6.793812553,7.624716716,6.038188636,7.563611902,7.674910879,8.917717477,5.639207834,6.623082741,3.078775081,4.140502385,7.249508811,6.445357089,5.472038468,6.651743907,7.140588771,6.081895264,7.375185693,8.506369202,,,6.427721214,7.62492177,5.52681183,6.957327145,6.333435403,7.620631536,4.610341961,5.791274298,5.904452303,7.047135092,6.651595673,7.660854522,5.220042145,6.309817747,6.050024959,7.828882998,6.329188653,5.012634437,5.534684544,6.876288897,7.637254022,6.724893233,7.121276571,8.007588463,7.950213079,9.115484079,8.175533316,6.647748265,7.69958869,9.230300158,9.564821483,7.431690252,8.0291375,9.469173195,8.533113441,7.428585464,7.155205098,5.814272439,9.340464335,7.206950673,5.183316795,6.42928923,6.112886389,7.666138011,6.482875905,8.185321619,7.453247614,8.771224088,6.794839365,8.513281212,6.147509821,7.257661676,5.069670699,6.562544019,8.485924876,7.586384251,4.459153507,5.708515131,6.578481436,7.734107382,8.963046636,7.514474898,7.985835773,6.147952261
66,9.377875772,8.46501583,8.244670824,7.318809261,8.950680086,9.629318252,8.349598913,9.091139093,5.393105692,6.503423252,7.790908869,8.529523785,4.841923275,5.932362851,7.066366605,6.331218287,6.727915576,7.40755864,5.458643879,6.309562346,4.578382356,5.609456302,10.14587138,10.99798027,7.516571825,8.542885051,4.312614636,5.312479741,4.447325151,5.682028159,8.141681644,7.25156983,7.428223206,8.570269191,5.211279785,6.49505204,,,10.11658781,9.041079692,6.016164393,4.954930171,6.377145521,5.775793365,7.840223785,6.725572838,7.584316581,6.577810274,7.135806191,6.072692484,7.648390288,6.994131326,6.578009197,5.544651567,8.613467652,7.604145251,6.863147092,5.721758209,9.76013796,8.782777294,8.592680199,7.632149108,5.378280952,3.982821236,8.017213044,6.444352566,7.564561851,6.556261511,7.450622793,8.413150718,7.35937939,8.300456132,8.112895044,6.913317655,9.556294313,8.776678757,7.992843424,6.849660211,6.698730626,8.402062842,6.235600773,7.495113141,7.249559504,8.709445103,6.399434037,7.522160394,5.555118001,6.843046105,7.082422749,6.05490611,8.353915788,7.117098426,6.655535816,7.602040844,5.470634789,6.551972909,5.320465487,6.524119941,6.771610222,7.627150058,6.105912053,7.533808134,7.566757364,8.943304535,5.584150428,6.624792827,3.16807844,4.188059694,7.321517329,6.472077024,5.55988633,6.702459996,7.282514401,6.099546377,7.287470069,8.398890939,,,6.417978264,7.449076788,5.55350646,6.856758782,6.444037554,7.775794557,4.566897634,5.735969752,5.904293353,7.018739559,6.654546791,7.701475508,5.273832098,6.470246981,6.165741561,7.851690901,6.331603667,4.977084488,5.56733015,6.926731192,7.632315311,6.748568811,7.168519233,8.085493801,7.957382547,9.100780681,8.171578305,6.638821055,7.735722914,9.283605011,9.732992602,7.520632753,7.966938998,9.507573455,8.448963072,7.405950648,7.062069456,5.723695397,9.252384449,7.219196146,5.305668667,6.409465266,6.121937275,7.653858177,6.476730116,8.276201182,7.367569274,8.645718941,6.781318825,8.477223661,6.164753118,7.318629653,5.078496333,6.542623938,8.62207736,7.652522199,4.335045213,5.753921185,6.652764313,7.793,8.85805622,7.535434228,8.058741155,6.228762317
69,9.241505776,8.435328091,8.309439933,7.350814173,9.003927421,9.681174309,8.187074752,8.962562413,5.588109609,6.431873755,7.584932432,8.351232304,4.772821597,5.722199053,7.002488772,6.276888401,6.732679259,7.386877893,5.294239983,6.133789204,4.445953216,5.485221053,10.0336,11.01825145,7.660422769,8.589702789,4.248367687,5.223524193,4.365339048,5.577958856,8.215905124,7.318249244,7.43192983,8.58762767,5.311355759,6.736054112,,,10.15085046,9.01612999,6.415713211,5.316763865,6.424863034,5.791893041,7.961781961,6.780075663,7.527858793,6.330791104,7.187363355,5.969912981,7.620074147,6.970709074,6.633466741,5.621585719,8.569791188,7.566370662,6.697071897,5.670670595,9.763720858,8.727333671,8.448886613,7.490839005,5.395294431,4.168806304,8.159321357,6.432116681,7.560221491,6.57415158,7.433958905,8.415089423,7.53083747,8.433556308,8.108052787,6.913533684,9.541104863,8.789921615,7.996165331,6.9026337,6.631546577,8.354116171,6.30279565,7.532810896,7.134870777,8.642757083,6.462259435,7.57881818,5.653643515,6.899989855,6.921966845,5.987277846,8.461153881,7.114292094,6.617143341,7.481856588,5.514869083,6.618448912,5.367833828,6.504710678,6.804074735,7.691522866,6.057047548,7.479009092,7.558548339,8.952435758,5.641473655,6.546826407,3.2387371,4.290738864,7.389185138,6.530219675,5.61184818,6.736656144,7.361830207,6.075100411,7.237225021,8.389264092,,,6.420866998,7.386985583,5.795164364,6.958694418,6.558403617,7.915615769,4.445098537,5.654092765,5.841219907,6.904705931,6.645396903,7.765156856,5.30320752,6.598667744,6.304903013,7.884443734,6.218637311,4.830886047,5.725123754,7.087636066,7.605383422,6.72782855,7.317164068,8.211524158,7.938011401,9.057947339,8.164599194,6.641797949,7.753706533,9.326906293,9.887949484,7.581090753,7.996757843,9.457503476,8.425827912,7.36953411,6.954805245,5.603553962,8.99387953,7.200971671,5.368483212,6.429877526,6.167805525,7.728029827,6.540603718,8.412899203,7.256637789,8.396062172,6.736280353,8.387814137,6.197909406,7.397078139,5.038934808,6.540264291,8.487912405,7.526561101,4.302476031,5.767435479,6.644677043,7.76972773,8.783240006,7.580157914,8.090708313,6.286242518
72,9.323434239,8.490387977,8.326155475,7.348752887,9.050811345,9.728867252,8.051393047,8.810480861,5.727126068,6.465571746,7.530255241,8.23110594,4.717254498,5.720232163,6.929782464,6.160456882,6.786724173,7.429335973,5.089118784,6.018800628,4.297247142,5.3816805,9.938009962,10.8889511,7.725147313,8.667200817,4.201400362,5.130345213,4.369318597,5.5478832,8.207860257,7.34818515,7.491832686,8.63701482,5.449277567,6.997000071,,,10.17121035,9.121875684,6.677070316,5.591318002,6.519251874,5.820804498,7.959572162,6.812351283,7.498789369,6.184228327,7.241097154,5.911619913,7.556907966,6.846381307,6.612536352,5.679190875,8.33509904,7.519939627,6.620647249,5.820806989,9.645689815,8.55813794,8.437297435,7.538458463,5.442852377,4.31069194,8.324449111,6.518403025,7.666215037,6.64941035,7.422022972,8.430308476,7.634609682,8.495981933,8.065702449,6.878831587,9.63964574,8.81250095,8.015914234,6.889595126,6.591780488,8.366199257,6.390015415,7.580914061,7.22775553,8.606137577,6.497684818,7.626845547,5.757299714,7.020691989,6.807191051,5.87253693,8.368055031,7.156870825,6.518739909,7.404709853,5.501905579,6.618585121,5.396679813,6.442562301,6.760300659,7.644379962,6.093524186,7.507875931,7.543504292,8.957563564,5.624636166,6.573295368,3.278029896,4.389137615,7.498396762,6.624742486,5.697190272,6.810887534,7.422431003,6.278455622,7.178511963,8.385077817,,,6.441051156,7.42103261,5.899397003,7.094338588,6.739477279,8.133239453,4.374605925,5.598761649,5.958952005,6.948616697,6.722507642,7.876650621,5.374670688,6.750131332,6.386914435,7.820161188,6.14962446,4.790260953,5.987397849,7.363826247,7.614090162,6.748378324,7.174962021,8.070624511,7.96987434,9.019009314,8.178502797,6.689769204,7.744594244,9.395429793,9.976920667,7.628793089,8.00648637,9.438339367,8.306919044,7.239255003,6.923643333,5.488621321,8.940282434,7.22508166,5.574967264,6.422687911,6.215824402,7.889250535,6.571570893,8.46906016,7.523642004,8.999690884,6.728974067,8.372202816,6.153769983,7.427923599,5.037142047,6.556810581,8.600753281,7.596199708,4.349547103,5.798110037,6.667506055,7.772725455,8.785564808,7.558798846,8.05469118,6.359384955
75,,,8.380129474,7.404769544,9.098681773,9.834409082,7.925944865,8.654705656,5.836,6.520203218,7.278699953,8.032925059,4.588474801,5.648997168,6.888016405,6.092833905,6.743616241,7.402457025,4.859758224,5.915580952,4.119621342,5.249829902,9.815403099,10.80085001,7.778962463,8.683377972,4.265869782,5.093000098,4.533120118,5.471729891,8.2252572,7.336932942,7.570562198,8.625797181,5.58417335,7.11701377,,,10.37066179,9.217248451,6.748947325,5.682672787,6.522883411,5.803945985,7.90159003,6.801360452,7.433955676,6.027366008,7.363134251,5.944580137,7.501363209,6.755009771,6.666307074,5.784205563,8.201935016,7.489694253,6.508445974,5.853554476,9.409281588,8.30776438,8.299647764,7.562384875,5.509357857,4.444736775,8.466898488,6.628491306,7.75407409,6.747661076,7.375475307,8.373264716,7.685023422,8.607685519,7.921493041,6.872158904,9.646865812,8.832685209,7.995189178,6.871764329,6.549465093,8.366217365,6.466555884,7.642597072,7.278089928,8.593517615,6.557043236,7.66201279,5.875132084,7.19806988,6.739902967,5.761207252,8.093757718,7.03358806,,,5.622235943,6.709134147,5.489022682,6.507892823,6.731965092,7.578812374,6.150261539,7.658955869,7.484965798,8.947729209,5.535958273,6.444555221,3.348408876,4.473066621,7.557783339,6.669478915,5.742318173,6.876925185,7.482039628,6.320371666,7.151583391,8.462688107,,,6.480791695,7.46554921,5.971737184,7.121937096,6.838621206,8.236391746,4.204666455,5.496476326,6.008515457,6.973175245,6.707187563,7.932509439,5.427801949,6.859936807,6.663145278,7.933345133,6.083785088,4.728379215,6.144013835,7.601736907,7.723548666,6.79719295,7.358401797,8.3052661,7.943661939,8.953126158,8.220606608,6.695542174,7.81393422,9.439729869,10.06976514,7.635841931,8.005357768,9.405692319,8.269311459,7.172237378,6.893417222,5.37804444,8.975587836,7.245378803,5.535413715,6.601141265,6.229709865,7.953864281,6.609746516,8.518002113,7.562116238,9.025455224,6.683752614,8.227864425,6.075647291,7.367527129,4.991172407,6.495960052,8.645221223,7.680407086,4.52607965,5.907167257,6.70870852,7.725624894,8.701117917,7.575487113,8.102250366,6.371725434
78,,,8.380821081,7.404055443,9.144218993,9.916519752,7.853640302,8.616610238,5.895109923,6.577295797,7.202153289,7.96881729,4.516738314,5.517231552,6.789160331,5.935540835,6.632873887,7.355401077,4.68320969,5.797978355,4.025906358,5.187752596,9.703435371,10.68909524,7.954792832,8.769150472,4.32590765,5.105340831,4.61630025,5.501203141,8.184001772,7.321281309,7.551989672,8.587973568,5.728895618,7.157575637,,,10.20198025,9.10050592,6.948844652,5.962106423,6.504417345,5.843623619,7.884541648,6.804589628,7.324553843,5.869908347,7.374244436,6.084414516,7.337964364,6.541638403,6.795266956,5.881524462,8.165706399,7.473429266,6.461023603,5.854875746,9.211889763,8.154274707,8.282352625,7.674871334,5.559813396,4.500760825,8.600003023,6.773499686,7.841043298,6.829571656,7.45419828,8.417624962,7.74361169,8.564416851,7.912385797,6.819916202,9.709451941,8.828863177,7.976522676,6.906821917,6.515168302,8.26321832,6.506848853,7.692341971,7.312126435,8.522109657,6.513484014,7.558977775,5.91722925,7.340097275,6.513100183,5.588277821,7.971442843,6.927382911,,,5.693928784,6.773873707,5.565905946,6.572216065,6.691110521,7.613153486,6.224235294,7.747305919,7.516245672,8.929706042,5.349881681,6.277050342,3.400788438,4.610494334,7.651752806,6.765865059,5.747236727,6.969621008,7.516576947,6.366880633,7.123584,8.446427174,,,6.471896245,7.463445049,5.991033717,7.185561078,6.874295891,8.294729411,4.197706517,5.466947411,6.023814738,6.876180989,6.798308613,8.042963944,5.545963307,6.966769194,6.800029412,7.945415345,6.00947818,4.726629666,6.290590513,7.6518058,7.769118161,6.812412201,7.583800103,8.383083979,7.985523151,8.988190975,8.288511145,6.719101279,7.836816828,9.4949802,10.12735903,7.637026777,7.998184294,9.343763749,8.226546785,7.095830677,6.8710946,5.310822912,8.884400993,7.207386281,5.670599616,6.677914794,6.26446135,7.975547755,6.60853085,8.595280856,7.453184085,8.834267485,6.718983331,8.361271315,5.992126584,7.294246774,4.956167874,6.42608131,8.627556375,7.689218751,4.663146792,5.994899249,6.636684187,7.630540544,8.726731633,7.611866788,8.130259098,6.409373526
81,,,8.346502801,7.453441957,9.091328726,9.909633394,7.699083062,8.485154389,5.966147836,6.630775671,7.112982848,7.845462638,4.477493272,5.412240386,6.803682826,5.843372742,6.481937982,7.251099296,4.574485982,5.703440365,3.948187559,5.144872399,9.63044433,10.56733656,7.971041839,8.840096493,4.430708296,5.194337013,4.707368054,5.5269222,8.244358313,7.326701987,7.549994702,8.576378373,5.780925358,7.397572102,,,10.27826469,9.118323201,6.859075739,5.955884233,6.488087931,5.845158167,7.778836545,6.716935313,7.252800631,5.793058346,7.409478929,6.263591621,7.257653202,6.395153243,6.885350391,5.947630537,8.140414977,7.504296503,6.649704129,6.022450332,9.152076267,8.06722381,8.418610931,7.873742757,5.692919989,4.655521023,8.653790846,6.831544847,7.87083636,6.901170408,7.523240326,8.413495469,7.79289067,8.513928177,7.857616496,6.816232757,9.735571991,8.822216161,8.048346538,6.992633982,6.533217584,8.272153105,6.512962613,7.793191901,7.341282517,8.537933298,6.623509191,7.709278565,5.991028376,7.445285488,6.470047372,5.475183741,7.872781719,6.739146311,,,5.779136008,6.854972283,5.676715688,6.624175873,6.60585021,7.59894894,6.310865709,7.798240891,7.568977276,8.99094767,5.262297692,6.234994948,3.459116939,4.731961961,7.696700137,6.813200496,5.76184736,7.083144288,7.639723097,6.457179647,7.144910636,8.50224588,,,6.403018429,7.483657528,6.06384078,7.268106356,6.985169432,8.386077331,4.175228137,5.443443763,6.164560649,7.014182917,6.857885534,8.15101098,5.681737938,7.060305376,6.897380662,7.998860544,6.062387978,4.6857867,6.299823569,7.772525973,7.712497974,6.823636054,7.469595036,8.514049389,8.022141609,9.010651142,8.241199003,6.718466268,7.837863612,9.500741129,10.2091197,7.69764412,7.996433017,9.341696473,8.225843422,7.043256633,6.822490015,5.234745935,8.786356981,7.265204815,5.587586957,6.880187207,6.308656355,8.09900321,6.583283679,8.571127172,7.504437354,8.913599722,6.75123959,8.279310418,6.109465607,7.432454574,5.05474757,6.522245089,8.597226355,7.690682284,4.857823793,6.096216696,6.657772901,7.59494075,8.683279853,7.614437405,8.163277896,6.450801578
84,,,8.365751192,7.433758807,9.044824487,9.725309712,7.600186906,8.362415261,6.01241923,6.647227542,7.061949943,7.808364041,4.440188397,5.340637509,6.664132652,5.614581463,6.280864351,7.124177496,4.416503255,5.549281485,3.952293638,5.132309909,9.68989809,10.56907688,8.070692288,8.914569928,4.519336234,5.299678481,4.857269192,5.550798501,8.379768255,7.415396146,7.592877189,8.537679134,5.877983753,7.426874982,,,10.23148103,9.083056369,6.876656455,6.01852025,6.541465356,5.911024023,7.581982656,6.621371837,7.18920392,5.747657001,7.504114938,6.413905596,7.117510871,6.195444536,6.976174381,6.055163829,8.056554909,7.430287478,6.931523498,6.148295699,9.107674621,8.065200803,8.607393217,8.067486969,5.779515983,4.704442688,8.735616864,6.982522753,7.850366743,6.976657151,7.672963769,8.446600855,7.616968951,8.348532446,7.822239577,6.73243678,9.780461543,8.807054559,8.03523248,6.897023778,6.496781357,8.229678062,6.49747651,7.849541388,7.354904826,8.462291415,6.674482152,7.727951604,6.031517305,7.539384723,6.41157235,5.364829634,7.693651409,6.678422344,,,5.815867433,6.925882254,5.713421742,6.643792968,6.593034203,7.557348874,6.315741603,7.734424995,7.589789062,9.029243601,5.056661547,6.089201754,3.583263875,4.845047471,7.806919303,6.906073052,5.800524976,7.176720212,7.630234728,6.404893286,7.094309833,8.509879083,,,6.391287898,7.609799997,6.146484524,7.346742475,7.087067729,8.473068157,4.321642396,5.469254428,6.118228502,7.016661956,6.947248736,8.410983831,5.777996885,7.179286316,6.900453608,8.077844081,5.987407619,4.728516575,6.363246498,7.806935698,7.852397405,6.918780239,7.549701186,8.623679319,7.987574851,9.004352836,8.287120248,6.746461369,7.862755878,9.562163981,10.18231,7.737132867,7.993110346,9.279281492,8.176616476,6.929429486,6.72561447,5.08477384,8.831721916,7.292465495,5.66481509,6.903115891,6.286636143,8.092245177,6.577781161,8.505095532,7.434918762,8.872160165,6.936652291,8.376275306,6.026113258,7.357533622,4.992391912,6.494207265,8.646609567,7.702458633,4.908156884,6.132896298,6.650571103,7.633235815,8.658949821,7.597263981,8.162966679,6.434017718
87,,,,,9.106598322,9.689909907,7.486736605,8.327249546,6.050473783,6.750417246,6.936282866,7.714128596,4.435470325,5.298409195,6.67519363,5.551722255,6.130297872,7.008619978,4.298820885,5.375387242,4.087295928,5.088632822,9.833029442,10.52216299,7.986620625,8.819720007,4.595924825,5.440885406,4.964714695,5.689935676,8.405031945,7.464257498,7.621634995,8.529708084,5.954586803,7.395840791,,,10.21746392,9.102845379,6.850475166,5.933436862,6.569012178,5.947298967,7.396504174,6.422049906,7.142093391,5.722954656,7.550863063,6.533339498,7.055389004,6.055509888,7.136781347,6.131658585,7.990252124,7.316357905,7.04215024,6.167488954,9.032934462,8.100961178,8.592859477,7.994391034,6.058538603,4.855494722,8.564369446,6.974018712,7.70853968,6.92076477,7.678852063,8.445513898,7.780332255,8.419435729,7.783293968,6.752393502,9.855270265,8.880308159,8.107175649,6.9650743,6.491110614,8.252607891,6.594642674,7.887442488,7.341196088,8.434840247,6.671980291,7.758741393,6.056752017,7.713913274,6.333855461,5.341621102,7.542644231,6.581428492,,,5.843869437,7.004439235,5.695234236,6.644989842,6.584686021,7.513841161,6.386033589,7.709929247,7.586094186,9.021727662,5.057546935,6.046069798,3.747168664,4.934212196,7.900485112,6.94211099,5.869409936,7.274579919,7.682769878,6.459921517,7.076829304,8.548896128,,,6.370999058,7.76547674,6.30441623,7.422260639,7.101840395,8.616036328,4.494167999,5.484024526,6.140201381,7.121602699,6.998200483,8.407428263,5.760215447,7.256814246,7.002209437,8.179661668,5.964176138,4.794506857,6.419771102,7.902809437,7.919646457,6.909564965,7.549423885,8.769507398,7.947926082,9.073397214,8.228074441,6.748255478,7.896412477,9.638180586,10.22347729,7.771775215,7.979224649,9.284218922,8.1380384,6.847031839,6.706557164,4.95776371,8.807809376,7.241180705,5.63618071,7.012646433,6.303213149,8.129090294,6.578579938,8.417784031,7.38198686,8.828553959,7.046470322,8.411616848,5.928672701,7.22852689,4.996406008,6.486495895,8.631399075,7.735026955,4.966713602,6.231133204,6.621363983,7.53596656,8.660610717,7.580439301,8.157963717,6.430014774
90,,,,,9.12683713,9.882646811,7.431275597,8.240996845,6.081789621,6.897958539,6.774075878,7.537474511,4.41861347,5.285855182,6.58029741,5.498646379,6.021746009,6.893025461,4.109961192,5.200689185,4.271796109,5.120489234,9.895356588,10.56737493,7.914740741,8.756751281,4.707879034,5.644043409,5.148085664,5.925843822,8.453185553,7.537832381,7.561809836,8.493858723,6.043090931,7.352203071,,,10.18896442,9.132560868,6.754597619,5.706037504,6.647880865,6.021371023,7.224468562,6.147276795,7.074911802,5.730330706,7.528235916,6.667224985,6.885531279,5.93801061,7.194986657,6.183001375,7.957919138,7.250440331,7.252463926,6.375721528,8.972454068,8.041667737,8.767719487,8.07599709,6.250556855,5.081828214,8.28477459,6.991612189,7.616353786,6.876534956,,,7.654980078,8.411681223,7.797798728,6.689086634,9.859083578,8.916282858,8.165057869,6.991292012,6.568658463,8.171178434,6.693409072,7.971705087,7.363494415,8.462905943,6.714688377,7.748058144,6.139712453,7.852920985,6.343773325,5.394971826,7.453075875,6.511512344,,,5.827798984,7.060548562,5.696134303,6.656552636,6.49799546,7.38163085,6.451657151,7.598923937,7.682394679,9.122328047,5.235139158,6.247564966,3.870340166,5.089981532,7.975035611,7.010471168,5.939637194,7.287164401,7.82738609,6.55119264,7.103054061,8.588573805,,,6.362360018,7.858147937,6.33133264,7.517649766,7.206414504,8.720997707,4.650293969,5.530532795,6.241913248,7.144865709,7.044065942,8.497200009,5.792472443,7.390441935,7.071756783,8.340372174,5.945335062,4.846040136,6.490534184,8.020155859,7.982583855,6.939838975,7.533507085,8.80824432,7.966793583,9.023355086,8.212145457,6.699058516,7.915711023,9.666600488,10.19333949,7.82244495,8.009648244,9.235776362,8.078608853,6.780665012,6.695405141,4.88699335,8.798311486,7.25803968,5.782292452,6.987192856,6.245833972,8.16602339,6.538811283,8.236653811,7.434816003,8.842209283,7.121145133,8.487827166,5.838602915,7.15884418,4.972151446,6.485239009,8.557294549,7.676147797,5.050046039,6.358058194,6.629954826,7.499750529,8.656248668,7.537536202,8.129614813,6.423828454
